Symbol,Element,MeltingPoint
H,1,-259.14
He,2,-272.2
Li,3,180.54
Be,4,1287
B,5,2075
C,6,3550
N,7,-210.1
O,8,-218.79
F,9,-219.62
Ne,10,-248.59
Na,11,97.72
Mg,12,650
Al,13,660.32
Si,14,1414
P,15,44.2
S,16,115.21
Cl,17,-101.5
Ar,18,-189.35
K,19,63.38
Ca,20,842
Sc,21,1541
Ti,22,1668
V,23,1910
Cr,24,1907
Mn,25,1246
Fe,26,1538
Co,27,1495
Ni,28,1455
Cu,29,1084.62
Zn,30,419.53
Ga,31,29.76
Ge,32,938.25
As,33,817
Se,34,221
Br,35,-7.2
Kr,36,-157.36
Rb,37,39.31
Sr,38,777
Y,39,1522
Zr,40,1855
Nb,41,2477
Mo,42,2623
Tc,43,2157
Ru,44,2334
Rh,45,1964
Pd,46,1554.9
Ag,47,961.78
Cd,48,321.07
In,49,156.6
Sn,50,231.93
Sb,51,630.63
Te,52,449.51
I,53,113.7
Xe,54,-111.8
Cs,55,28.44
Ba,56,727
La,57,920
Ce,58,795
Pr,59,931
Nd,60,1021
Pm,61,1042
Sm,62,1074
Eu,63,822
Gd,64,1313
Tb,65,1356
Dy,66,1412
Ho,67,1474
Er,68,1529
Tm,69,1545
Yb,70,819
Lu,71,1663
Hf,72,2233
Ta,73,3017
W,74,3422
Re,75,3186
Os,76,3033
Ir,77,2466
Pt,78,1768.3
Au,79,1064.18
Hg,80,-38.83
Tl,81,304
Pb,82,327.46
Bi,83,271.4
Po,84,254
At,85,302
Rn,86,-71
Fr,87,27
Ra,88,700
Ac,89,1050
Th,90,1750
Pa,91,1572
U,92,1135
Np,93,644
Pu,94,640
Am,95,1176
Cm,96,1345
Bk,97,986
Cf,98,900
Es,99,860
Fm,100,1527
Md,101,827
No,102,827
Lr,103,1627
Rf,104,2100
Db,105,2100
Sg,106,2100
